S No,State_Code,State,District_Key,Cowin Key,District
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobar,Nicobars
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,North and Middle Andaman
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,South Andaman
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,Anantapur
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,Chittoor
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,East Godavari
7,AP,Andhra Pradesh,AP_Guntur,Guntur,Guntur
8,AP,Andhra Pradesh,AP_Krishna,Krishna,Krishna
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,Kurnool
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,Prakasam
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,Sri Potti Sriramulu Nellore,S.P.S. Nellore
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,Srikakulam
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,Visakhapatnam
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,Vizianagaram
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,West Godavari
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,YSR District Kadapa (Cuddapah),Y.S.R. Kadapa
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,Anjaw
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,Changlang
19,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Dibang Valley,Upper Dibang Valley
20,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,East Kameng
21,AR,Arunachal Pradesh,AR_East Siang,East Siang,East Siang
22,AR,Arunachal Pradesh,AR_Papum Pare,Itanagar Capital Complex,Papum Pare
23,AR,Arunachal Pradesh,AR_Kamle,Kamle,Kamle
24,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,Kra Daadi
25,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,Kurung Kumey
26,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,Lepa Rada
27,AR,Arunachal Pradesh,AR_Lohit,Lohit,Lohit
28,AR,Arunachal Pradesh,AR_Longding,Longding,Longding
29,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,Lower Dibang Valley
30,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,Lower Siang
31,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,Lower Subansiri
32,AR,Arunachal Pradesh,AR_Namsai,Namsai,Namsai
33,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,Pakke Kessang
34,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,Papum Pare
35,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,Shi Yomi
36,AR,Arunachal Pradesh,AR_Siang,Siang,Siang
37,AR,Arunachal Pradesh,AR_Tawang,Tawang,Tawang
38,AR,Arunachal Pradesh,AR_Tirap,Tirap,Tirap
39,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,Upper Siang
40,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,Upper Subansiri
41,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,West Kameng
42,AR,Arunachal Pradesh,AR_West Siang,West Siang,West Siang
43,AS,Assam,AS_Baksa,Baksa,Baksa
44,AS,Assam,AS_Barpeta,Barpeta,Barpeta
45,AS,Assam,AS_Biswanath,Biswanath,Biswanath
46,AS,Assam,AS_Bongaigaon,Bongaigaon,Bongaigaon
47,AS,Assam,AS_Cachar,Cachar,Cachar
48,AS,Assam,AS_Charaideo,Charaideo,Charaideo
49,AS,Assam,AS_Chirang,Chirang,Chirang
50,AS,Assam,AS_Darrang,Darrang,Darrang
51,AS,Assam,AS_Dhemaji,Dhemaji,Dhemaji
52,AS,Assam,AS_Dhubri,Dhubri,Dhubri
53,AS,Assam,AS_Dibrugarh,Dibrugarh,Dibrugarh
54,AS,Assam,AS_Dima Hasao,Dima Hasao,Dima Hasao
55,AS,Assam,AS_Goalpara,Goalpara,Goalpara
56,AS,Assam,AS_Golaghat,Golaghat,Golaghat
57,AS,Assam,AS_Hailakandi,Hailakandi,Hailakandi
58,AS,Assam,AS_Hojai,Hojai,Hojai
59,AS,Assam,AS_Jorhat,Jorhat,Jorhat
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,Kamrup Metropolitan
61,AS,Assam,AS_Kamrup,Kamrup Rural,Kamrup
62,AS,Assam,AS_Karbi Anglong,Karbi-Anglong,Karbi Anglong
63,AS,Assam,AS_Karimganj,Karimganj,Karimganj
64,AS,Assam,AS_Kokrajhar,Kokrajhar,Kokrajhar
65,AS,Assam,AS_Lakhimpur,Lakhimpur,Lakhimpur
66,AS,Assam,AS_Majuli,Majuli,Majuli
67,AS,Assam,AS_Morigaon,Morigaon,Morigaon
68,AS,Assam,AS_Nagaon,Nagaon,Nagaon
69,AS,Assam,AS_Nalbari,Nalbari,Nalbari
70,AS,Assam,AS_Sivasagar,Sivasagar,Sivasagar
71,AS,Assam,AS_Sonitpur,Sonitpur,Sonitpur
72,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,South Salmara Mankachar
73,AS,Assam,AS_Tinsukia,Tinsukia,Tinsukia
74,AS,Assam,AS_Udalguri,Udalguri,Udalguri
75,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,West Karbi Anglong
76,BR,Bihar,BR_Araria,Araria,Araria
77,BR,Bihar,BR_Arwal,Arwal,Arwal
78,BR,Bihar,BR_Aurangabad,Aurangabad,Aurangabad
79,BR,Bihar,BR_Banka,Banka,Banka
80,BR,Bihar,BR_Begusarai,Begusarai,Begusarai
81,BR,Bihar,BR_Bhagalpur,Bhagalpur,Bhagalpur
82,BR,Bihar,BR_Bhojpur,Bhojpur,Bhojpur
83,BR,Bihar,BR_Buxar,Buxar,Buxar
84,BR,Bihar,BR_Darbhanga,Darbhanga,Darbhanga
85,BR,Bihar,BR_East Champaran,East Champaran,East Champaran
86,BR,Bihar,BR_Gaya,Gaya,Gaya
87,BR,Bihar,BR_Gopalganj,Gopalganj,Gopalganj
88,BR,Bihar,BR_Jamui,Jamui,Jamui
89,BR,Bihar,BR_Jehanabad,Jehanabad,Jehanabad
90,BR,Bihar,BR_Kaimur,Kaimur,Kaimur
91,BR,Bihar,BR_Katihar,Katihar,Katihar
92,BR,Bihar,BR_Khagaria,Khagaria,Khagaria
93,BR,Bihar,BR_Kishanganj,Kishanganj,Kishanganj
94,BR,Bihar,BR_Lakhisarai,Lakhisarai,Lakhisarai
95,BR,Bihar,BR_Madhepura,Madhepura,Madhepura
