State,Gender,percent
"Andaman and Nicobar Islands",M,0.50352
"Andaman and Nicobar Islands",,98.89225
"Andaman and Nicobar Islands",F,0.60423
"Andhra Pradesh",M,1.83755
"Andhra Pradesh",F,0.65841
"Andhra Pradesh",,97.50404
"Arunachal Pradesh",,99.53261
"Arunachal Pradesh",M,0.30805
"Arunachal Pradesh",F,0.15934
Assam,M,1.08989
Assam,,98.37056
Assam,F,0.53955
Bihar,M,21.84096
Bihar,F,3.30728
Bihar,,74.84927
Bihar,"M ",0.00248
Chandigarh,F,15.75221
Chandigarh,M,20.20822
Chandigarh,,64.02915
Chandigarh,Non-Binary,0.01041
Chhattisgarh,F,0.02752
Chhattisgarh,M,0.03932
Chhattisgarh,,99.93316
Delhi,M,0.85628
Delhi,,98.93543
Delhi,F,0.20829
"Dadra and Nagar Haveli and Daman and Diu",F,1.81718
"Dadra and Nagar Haveli and Daman and Diu",,94.76872
"Dadra and Nagar Haveli and Daman and Diu",M,3.41410
